,Emoji_ID,Emoji,Unicode_Name,Arabic_Name,Class,Total_Occurrence,Negativity_Occurrence_N(Negative),Neutrality_Occurrence_N(Neutral),Positivity_Occurrence_N(Positive),Negativite_Probability_P(Negative),Neutral_Probability_P(Neutral),Positive_Probability_P(Positive),Sentiment_Score_S,Sentiment_Label_L
85,b'\xe2\x98\xb9',☹, Frowning Face ,وجه مستاء,Facial Expression,540,457,34,49,0.8434622467771639,0.06445672191528545,0.09208103130755065,-0.7513812154696132,negative
86,b'\xf0\x9f\x98\x9a',😚, Kissing Face With Closed Eyes ,وجه يقبل بعيون مغلقه,Facial Expression,533,131,194,208,0.2462686567164179,0.36380597014925375,0.38992537313432835,0.14365671641791045,positive
87,b'\xf0\x9f\x99\x84',🙄, Face With Rolling Eyes ,وجه بتشميقه,Facial Expression,531,245,85,201,0.4606741573033708,0.16104868913857678,0.3782771535580524,-0.08239700374531839,negative
88,b'\xf0\x9f\x91\x8e',👎, Thumbs Down ,ابهام متجه لاسفل,Body Language,523,406,70,47,0.7737642585551331,0.13498098859315588,0.09125475285171103,-0.6825095057034221,negative
89,b'\xf0\x9f\x98\x84',😄, Grinning Face With Smiling Eyes ,وجه ضاحك بعيون مبتسمه,Facial Expression,484,74,65,345,0.1540041067761807,0.13552361396303902,0.7104722792607803,0.5564681724845996,positive
90,b'\xf0\x9f\x91\x88',👈, Backhand Index Pointing Left ,ظهر يد تشير الى اليسار,Body Language,466,132,234,100,0.2835820895522388,0.5010660980810234,0.21535181236673773,-0.06823027718550106,negative
91,b'\xf0\x9f\x93\x8c',📌, Pushpin ,دبوس التثبيت,Object,464,93,309,62,0.2012847965738758,0.6638115631691649,0.1349036402569593,-0.06638115631691649,negative
92,b'\xf0\x9f\x98\xb1',😱, Face Screaming In Fear ,وجه يصرخ من الخوف,Facial Expression,461,313,99,49,0.6767241379310345,0.21551724137931033,0.10775862068965517,-0.5689655172413793,negative
93,b'\xf0\x9f\xa4\x97',🤗, Hugging Face ,وجه العناق,Body Language,459,103,38,318,0.22510822510822512,0.08441558441558442,0.6904761904761905,0.4653679653679653,positive
94,b'\xf0\x9f\x91\x91',👑, Crown ,تاج,Object,433,35,47,351,0.08256880733944955,0.11009174311926606,0.8073394495412844,0.724770642201835,positive
95,b'\xf0\x9f\xa4\x90',🤐, Zipper-Mouth Face ,وجه بفم مغلق بسحاب,Facial Expression,422,297,100,25,0.7011764705882353,0.2376470588235294,0.0611764705882353,-0.64,negative
96,b'\xf0\x9f\x98\xb9',😹, Cat Face With Tears Of Joy ,وجه قطه بدموع الفرح,Facial Expression,416,151,57,208,0.3627684964200477,0.13842482100238662,0.4988066825775656,0.1360381861575179,positive
97,b'\xf0\x9f\x91\x8a',👊, Oncoming Fist ,قبضه موجهه للامام,Body Language,415,199,83,133,0.4784688995215311,0.20095693779904306,0.32057416267942584,-0.15789473684210525,negative
98,b'\xf0\x9f\x98\xa0',😠, Angry Face ,وجه غاضب,Facial Expression,413,366,36,11,0.8822115384615384,0.0889423076923077,0.028846153846153848,-0.8533653846153846,negative
99,b'\xf0\x9f\x98\x93',😓, Downcast Face With Sweat ,وجه مكتئب متعرق,Facial Expression,411,326,39,46,0.7898550724637681,0.0966183574879227,0.11352657004830918,-0.6763285024154588,negative
100,b'\xf0\x9f\x98\xb7',😷, Face With Medical Mask ,وجه بقناع طبي,Facial Expression,408,298,83,27,0.7274939172749392,0.20437956204379562,0.0681265206812652,-0.6593673965936739,negative
101,b'\xf0\x9f\x8c\xbb',🌻, Sunflower ,زهره دوار الشمس,Nature,407,24,105,278,0.06097560975609756,0.25853658536585367,0.6804878048780488,0.6195121951219513,positive
102,b'\xf0\x9f\x92\xab',💫, Dizzy ,دوار,Nature,403,96,112,195,0.23891625615763548,0.27832512315270935,0.4827586206896552,0.2438423645320197,positive
103,b'\xe2\x9c\x94',✔, Heavy Check Mark ,علامه صح غامقه,Symbol,400,78,211,111,0.19602977667493796,0.5260545905707196,0.27791563275434245,0.08188585607940449,positive
104,b'\xf0\x9f\x98\x83',😃, Grinning Face With Big Eyes ,وجه مبتسم بعيون واسعه,Facial Expression,399,51,34,314,0.12935323383084577,0.08706467661691543,0.7835820895522388,0.6542288557213931,positive
105,b'\xf0\x9f\x92\xa5',💥, Collision ,اصطدام,Symbol,394,161,155,78,0.4080604534005038,0.3929471032745592,0.19899244332493704,-0.20906801007556675,negative
106,b'\xf0\x9f\x98\xb0',😰, Anxious Face With Sweat ,وجه قلق متعرق,Facial Expression,387,264,87,36,0.6794871794871795,0.22564102564102564,0.09487179487179487,-0.5846153846153846,negative
107,b'\xf0\x9f\x98\xb6',😶, Face Without Mouth ,وجه بلا فم,Facial Expression,384,248,69,67,0.6434108527131783,0.18087855297157623,0.17571059431524547,-0.46770025839793283,negative
108,b'\xf0\x9f\x98\xab',😫, Tired Face ,وجه متعب,Facial Expression,379,236,29,114,0.6204188481675392,0.07853403141361257,0.3010471204188482,-0.31937172774869105,negative
109,b'\xf0\x9f\xa4\xa2',🤢, Nauseated Face ,وجه مشمئز,Facial Expression,376,333,17,26,0.8812664907651715,0.047493403693931395,0.0712401055408971,-0.8100263852242744,negative
110,b'\xf0\x9f\x87\xaa\xf0\x9f\x87\xac',🇪🇬, Egypt ,علم مصر,Flag,372,17,105,250,0.048,0.2826666666666667,0.6693333333333333,0.6213333333333333,positive
111,b'\xf0\x9f\x8f\x86',🏆, Trophy ,كاس,Object,369,11,242,116,0.03225806451612903,0.6532258064516129,0.31451612903225806,0.282258064516129,positive
112,b'\xf0\x9f\x99\x83',🙃, Upside-Down Face ,وجه مقلوب,Facial Expression,368,343,15,10,0.9272237196765498,0.0431266846361186,0.029649595687331536,-0.8975741239892183,negative
113,b'\xf0\x9f\x99\x8a',🙊, Speak-No-Evil Monkey ,قرد بحركه اليد لقول لا اتكلم,Body Language,347,219,76,52,0.6285714285714286,0.22,0.15142857142857144,-0.4771428571428571,negative
114,b'\xf0\x9f\x8d\x82',🍂, Fallen Leaf ,ورقه شجر ساقطه,Nature,344,66,111,167,0.1930835734870317,0.3227665706051873,0.484149855907781,0.2910662824207493,positive
115,b'\xf0\x9f\x8e\xbc',🎼, Musical Score ,درجه موسيقيه,Symbol,333,52,40,241,0.15773809523809523,0.12202380952380952,0.7202380952380952,0.5625,positive
116,b'\xf0\x9f\x98\x97',😗, Kissing Face ,وجه يرسل قبله,Facial Expression,325,122,62,141,0.375,0.19207317073170732,0.4329268292682927,0.05792682926829268,neutral
117,b'\xf0\x9f\x98\x86',😆, Grinning Squinting Face ,وجه ضاحك مغمض العينين,Facial Expression,311,169,59,83,0.5414012738853503,0.1910828025477707,0.267515923566879,-0.27388535031847133,negative
118,b'\xf0\x9f\x87\xb2\xf0\x9f\x87\xa6',🇲🇦, Morocco ,علم المغرب,Flag,303,3,87,213,0.013071895424836602,0.2875816993464052,0.6993464052287581,0.6862745098039216,positive
119,b'\xe2\x9d\x8c',❌, Cross Mark ,علامه تقاطع,Symbol,300,70,197,33,0.23432343234323433,0.6534653465346535,0.11221122112211221,-0.12211221122112212,negative
120,b'\xf0\x9f\x99\x8c',🙌, Raising Hands ,يدان مرفوعتان,Body Language,296,53,30,213,0.1806020066889632,0.10367892976588629,0.7157190635451505,0.5351170568561873,positive
121,b'\xf0\x9f\x93\x8d',📍, Round Pushpin ,دبوس تثبيت الجوله,Object,295,56,186,53,0.1912751677852349,0.62751677852349,0.18120805369127516,-0.010067114093959745,neutral
122,b'\xf0\x9f\x98\x87',😇, Smiling Face With Halo ,وجه مبتسم بهاله علي الراس,Facial Expression,295,31,28,236,0.10738255033557047,0.09731543624161074,0.7953020134228188,0.6879194630872484,positive
123,b'\xf0\x9f\x92\x8b',💋, Kiss Mark ,علامه قبله,Body Language,289,78,41,170,0.2705479452054795,0.14383561643835616,0.5856164383561644,0.3150684931506849,positive
124,b'\xf0\x9f\x8e\x89',🎉, Party Popper ,متفرقعات احتفال ورقيه,Object,286,10,57,219,0.03806228373702422,0.20069204152249134,0.7612456747404844,0.7231833910034602,positive
125,b'\xf0\x9f\x8d\x81',🍁, Maple Leaf ,ورقه شجر القيقب,Nature,277,33,97,147,0.12142857142857143,0.35,0.5285714285714286,0.40714285714285714,positive
126,b'\xf0\x9f\x98\x99',😙, Kissing Face With Smiling Eyes ,وجه يرسل قبله بعيون مبتسمه,Facial Expression,277,38,35,204,0.1392857142857143,0.12857142857142856,0.7321428571428571,0.5928571428571427,positive
127,b'\xf0\x9f\x8e\x80',🎀, Ribbon ,شريطه,Object,275,31,68,176,0.11510791366906475,0.24820143884892087,0.6366906474820144,0.5215827338129497,positive
128,b'\xf0\x9f\x92\x8c',💌, Love Letter ,رسالة حب,Heart,264,15,33,216,0.0599250936329588,0.12734082397003746,0.8127340823970037,0.7528089887640449,positive
129,b'\xf0\x9f\x98\xbb',😻, Smiling Cat Face With Heart-Eyes ,وجه قط مبتسم بعيون قلب,Facial Expression,262,19,53,190,0.07547169811320754,0.2037735849056604,0.720754716981132,0.6452830188679245,positive
130,b'\xf0\x9f\x94\xaa',🔪, Kitchen Knife ,سكين المطبخ,Object,262,129,73,60,0.49056603773584906,0.2792452830188679,0.23018867924528302,-0.26037735849056604,negative
131,b'\xf0\x9f\x94\x95',🔕, Bell With Slash ,جرس عليه علامه الغاء,Symbol,253,154,59,40,0.60546875,0.234375,0.16015625,-0.4453125,negative
132,b'\xf0\x9f\x92\xad',💭, Thought Balloon ,بالون التفكير,Symbol,251,67,63,121,0.2677165354330709,0.25196850393700787,0.48031496062992124,0.21259842519685035,positive
133,b'\xe2\x9c\x8d',✍, Writing Hand ,يد تكتب,Body Language,249,57,73,119,0.23015873015873015,0.29365079365079366,0.47619047619047616,0.24603174603174602,positive
134,b'\xf0\x9f\x98\x96',😖, Confounded Face ,وجه مرتبك,Facial Expression,244,218,19,7,0.8866396761133604,0.08097165991902834,0.032388663967611336,-0.8542510121457491,negative
135,b'\xf0\x9f\x92\xa6',💦, Sweat Droplets ,قطرات عرق,Nature,240,67,106,67,0.27983539094650206,0.4403292181069959,0.27983539094650206,0.0,neutral
136,b'\xe2\x9b\x94',⛔, No Entry ,ممنوع الدخول,Symbol,238,73,157,8,0.3070539419087137,0.6556016597510373,0.03734439834024896,-0.26970954356846477,negative
